url,hash
https://lrb.hawaii.gov/wp-content/uploads/Agriculture_guide.pdf,01e89b2a9209fb3d6b001fe1add8aa075777009b8ee6601c4fce1199ccd3dab0
https://lrb.hawaii.gov/wp-content/uploads/08-AG-Directory.pdf,fa5dd85c62f8ca866c362656b480287b13d46efde4e85c580ca5c4866761a7e3
https://lrb.hawaii.gov/wp-content/uploads/AttorneyGeneral_guide.pdf,9c5acdb4423352968c01e60a3520b3ff6f689601518a3aac48c9ce80aae047b6
https://lrb.hawaii.gov/wp-content/uploads/09-BF-Directory.pdf,eb29123db88f03c66d505d68fe027bca782125033473cc368c193cb641b71f41
https://lrb.hawaii.gov/wp-content/uploads/BudgetFinance_guide.pdf,ea21b413addfffbc2146832f08d7a9aee0d56917419629de0217bbfae4da7643
https://lrb.hawaii.gov/wp-content/uploads/10-DBEDT-Directory.pdf,bfa0b866263637bcd01f6041fcab6d539797f5f5cc2e75c320d8c0e320a51b4f
https://lrb.hawaii.gov/wp-content/uploads/DBEDT_guide.pdf,26a253192828196c05fe83feb14df0c668c9fa6d9786133d77d3b510e0cee8e4
https://lrb.hawaii.gov/wp-content/uploads/11-DCCA-Directory.pdf,0df49e41c35fb8a37042f5adf982cefad51824d1bc13702f2aa4f6afb42d17d9
https://lrb.hawaii.gov/wp-content/uploads/DCCA_guide.pdf,a89ea872634024ab11b5cfe4eada78ff1de0002b15a07ecf10686386df9e1879
https://lrb.hawaii.gov/wp-content/uploads/12-DCR-Directory.pdf,f0117a6ef97604e8f040b0bb91a7c7d6777a0c7999a4c3f31eed8391efc60ee9
https://lrb.hawaii.gov/wp-content/uploads/PSD_guide.pdf,28a731ebc27e6a01e6e7065646035eb054d9c7401c96348edccb9ef6982c833f
https://lrb.hawaii.gov/wp-content/uploads/13-DOD-Directory.pdf,1b02ef740fbcaa34b8d0a6fd432b01c5661716e2584328cc8a9b5f9118cbf1d2
https://lrb.hawaii.gov/wp-content/uploads/DOD_guide.pdf,b6ca5cf5983cee2fb09361fc3ee274235c7663b6fae985b9f5adc6fac69d9480
https://lrb.hawaii.gov/wp-content/uploads/14-DOE-Directory.pdf,08caece7a2ea49567914f1fd0403d0fb23984f8b43982d3909375505a974b039
https://lrb.hawaii.gov/wp-content/uploads/DOE_guide.pdf,451207f6815595328949ce0dfefc82d46c31ca974f5596f6c17c4436b5968f28
